"link","phi","alpha","kappa","true_ate","existing","proposed"
"logit",0.9,0.7,0.5,0.516420031855884,0.711170100851632,-0.330170478854205
"logit",1,0.7,0.5,0.496836813987885,1.04819302239775,0.851468725363469
"logit",0.3,0.8,0.5,0.518444243597775,0.775493417037069,-0.000822439084318449
"logit",0.4,0.8,0.5,0.497652678915183,0.864960689817963,1.67708282829169
"logit",0.5,0.8,0.5,0.515018261218537,0.73810577117456,1.28849023188438
"logit",0.6,0.8,0.5,0.506303869545087,0.892723157165165,0.9009241791169
"logit",0.7,0.8,0.5,0.511671375933755,0.83338683483089,0.460286954088449
"logit",0.8,0.8,0.5,0.490114060243056,0.930673395831036,0.519244057947597
"logit",0.9,0.8,0.5,0.480628685326735,1.11032149604944,2.03611167060036
"logit",1,0.8,0.5,0.505547819644096,0.867530221006746,2.1492955729836
"logit",0.3,0.9,0.5,0.492527571294666,0.725073692210572,0.894896467323948
"logit",0.4,0.9,0.5,0.493288236557902,0.863081530029376,-1.31991175378514
"logit",0.5,0.9,0.5,0.519937865166529,0.734411676530726,0.586141961122993
"logit",0.6,0.9,0.5,0.495933959498559,0.873225805068614,0.541781856335722
"logit",0.7,0.9,0.5,0.49197514124373,1.01583873042546,1.17860685430424
"logit",0.8,0.9,0.5,0.508411618720717,1.14099012436782,0.631464763145205
"logit",0.9,0.9,0.5,0.504756518738158,0.942704970220802,1.48256578862545
"logit",1,0.9,0.5,0.503807177895377,1.16006482571538,0.910402943262768
"logit",0.3,1,0.5,0.483864794830256,0.76262163746469,0.00158942625581138
"logit",0.4,1,0.5,0.509830839163717,0.900875528123834,1.38641292779004
"logit",0.5,1,0.5,0.486786920409603,0.918070049912785,2.80574062999487
"logit",0.6,1,0.5,0.514295806257147,0.859570697351955,1.00090727041655
"logit",0.7,1,0.5,0.515009091210039,1.10136237914412,0.439397785439327
"logit",0.8,1,0.5,0.500480962957069,1.08515912357325,0.619965980957126
"logit",0.9,1,0.5,0.516971721618203,1.12472503457684,0.025117941631714
"logit",1,1,0.5,0.497932099166256,1.27662830372174,-0.141349111707717
"logit",0.3,0.3,0.6,0.49612802222434,0.646296711105606,1.31122873379595
"logit",0.4,0.3,0.6,0.518495543486532,0.687578057869359,1.08672823785947
"logit",0.5,0.3,0.6,0.491697548242589,0.558452834891796,0.780823475983718
"logit",0.6,0.3,0.6,0.506732702561212,0.755300945274939,2.52133585887657
"logit",0.7,0.3,0.6,0.504717576192063,0.658876379512094,0.990648159680865
"logit",0.8,0.3,0.6,0.498711488200352,0.686245724384207,-0.0704444568158491
"logit",0.9,0.3,0.6,0.518825466786674,0.810092487354268,0.594067619735403
"logit",1,0.3,0.6,0.499232798815076,0.783029545564204,-1.05575566929561
"logit",0.3,0.4,0.6,0.510666765758419,0.67542039192449,0.446683620850733
"logit",0.4,0.4,0.6,0.508681257397635,0.65769895044491,0.807299166128758
"logit",0.5,0.4,0.6,0.506259275559057,0.748385021197464,-0.168654334299048
"logit",0.6,0.4,0.6,0.490008387830551,0.742879991332302,0.309304662568137
"logit",0.7,0.4,0.6,0.49457254459993,1.04941175786189,0.212458669703935
"logit",0.8,0.4,0.6,0.516329106542258,0.561578826397181,1.67749087013859
"logit",0.9,0.4,0.6,0.510073591251764,0.803663559501729,0.986743913964327
